[0.247115722646416, 0.0017162864455048574]
[0.1673620449260898, 0.00480055783841571]
[0.293993466479653, 0.006299671528832694]
[0.5975927862523673, 0.0018194907774791973]
[0.3433597084353175, 0.019029791515888187]
[0.1, 0.0024889432732769098]
[0.1964385189045596, 0.007810220452285159]
[0.4941710575399936, 0.014683143399583001]
[0.32537104914574566, 0.0028836236400783537]
[0.15271481002350115, 0.0036009438557328016]
[0.3794716792808957, 0.0050733877994323905]
[0.9814624810850836, 0.01650320496563207]
[0.8050160580382052, 0.005107074568637366]
[0.22404360759610997, 0.003936214475451538]
[0.1, 0.16165542053188384]
[0.201244610164283, 0.0]
[0.26215296967371404, 0.008975950398134319]
[0.2552469014468858, 0.005781025350260148]
[0.44880083615980765, 0.020265105995009584]
[0.4645423256630373, 0.016529750513926376]
[0.2189064335929849, 0.010640403158013286]
[0.2140500059049451, 0.0031178499487556797]
[0.14886071867609812, 0.01712993489768165]
[0.15031620981017618, 0.017437972824059917]
[0.17315465531017077, 7.477834026577259E-4]
[0.2340189303056181, 0.00302173394549285]
[0.23632509914349745, 0.0]
[0.17134180653355272, 0.008542186930480549]
[0.1837296213296395, 4.510844573103641E-4]
[0.18330353377583694, 0.0065331731954487654]
[0.42072790896115436, 0.002204934413853387]
[0.3125780392064762, 0.0023198887363864887]
[0.31436397557691576, 0.00374330053083346]
[0.20624097422481208, 0.0018742023063106727]
[0.5638532480386766, 0.005922123321917147]
[0.5661115116725989, 0.004443296481233858]
[0.2059452848657845, 0.0031946305969206413]
[0.41919135499861115, 0.017268671302353312]
[0.17241699852148903, 0.006703798958869044]
[0.39689119892056324, 0.00699970326947274]
[0.3981335449916975, 0.0036352047988917058]
[0.39980043454404823, 0.004254157950428821]
[0.45059144235492093, 0.0248483279723266]
[0.5010528385970644, 0.07496423992885538]
[0.3264944461768712, 0.010596309550472043]
[0.17200527981873054, 0.01885497025296402]
[0.18481578306981078, 0.006745423020822411]
[0.1838864624354244, 0.004740997052828357]
[0.3374068693944071, 0.3226361428907531]
[0.33011499371312186, 1.7783332428484497]
